Click_Y,Y_Top,Y_Bottom,Dist_Y_Top,Dist_Y_Bottom,Accuracy,Gap
393.6,325.0,465.0,68.6,71.4,0.1834,0.7
278.4,403.0,543.0,-124.6,264.6,-5.1834,0.7
500.6,420.0,560.0,80.6,59.4,0.5166,0.7
476.6,444.0,584.0,32.6,107.4,-0.8166,0.7
449.8,356.0,496.0,93.8,46.2,0.8834,0.7
318.0,176.0,316.0,142.0,-2.0,-0.2222,0.7
423.8,352.0,492.0,71.8,68.2,0.2722,0.7
374.8,416.0,556.0,-41.2,181.2,-2.8666,0.7
281.2,210.0,350.0,71.2,68.8,0.2556,0.7
188.6,28.0,168.0,160.6,-20.6,-0.7388,0.7
242.6,140.0,280.0,102.6,37.4,0.8722,0.7
474.2,384.0,524.0,90.2,49.8,0.7834,0.7
498.4,346.0,486.0,152.4,-12.4,-0.5112,0.7
259.4,232.0,372.0,27.4,112.6,-0.9612,0.7
352.2,275.0,415.0,77.2,62.8,0.4222,0.7
484.4,460.0,600.0,24.4,115.6,-1.0444,0.7
456.2,378.0,518.0,78.2,61.8,0.45,0.7
552.4,460.0,600.0,92.4,47.6,0.8444,0.7
187.8,106.0,246.0,81.8,58.2,0.55,0.7
444.6,400.0,540.0,44.6,95.4,-0.4834,0.7
442.8,387.0,527.0,55.8,84.2,-0.1722,0.7
372.0,304.0,444.0,68.0,72.0,0.1666,0.7
442.6,354.0,494.0,88.6,51.4,0.7388,0.7
373.8,322.0,462.0,51.8,88.2,-0.2834,0.7
442.4,475.0,615.0,-32.6,172.6,-2.6278,0.7
312.6,125.0,265.0,187.6,-47.6,-1.4888,0.7
387.0,330.0,470.0,57.0,83.0,-0.1388,0.7
314.0,48.0,188.0,266.0,-126.0,-3.6666,0.7
314.6,94.0,234.0,220.6,-80.6,-2.4056,0.7
444.0,443.0,583.0,1.0,139.0,-1.6944,0.7
372.6,301.0,441.0,71.6,68.4,0.2666,0.7
443.2,494.0,634.0,-50.8,190.8,-3.1334,0.7
311.8,202.0,342.0,109.8,30.2,0.6722,0.7
312.2,65.0,205.0,247.2,-107.2,-3.1444,0.7
313.6,67.0,207.0,246.6,-106.6,-3.1278,0.7
444.0,365.0,505.0,79.0,61.0,0.4722,0.7
444.0,416.0,556.0,28.0,112.0,-0.9444,0.7
373.2,289.0,429.0,84.2,55.8,0.6166,0.7
312.2,181.0,321.0,131.2,8.8,0.0778,0.7
443.2,398.0,538.0,45.2,94.8,-0.4666,0.7
330.2,262.0,402.0,68.2,71.8,0.1722,0.7
330.2,271.0,411.0,59.2,80.8,-0.0778,0.7
264.4,159.0,299.0,105.4,34.6,0.7944,0.7
332.2,238.0,378.0,94.2,45.8,0.8944,0.7
332.2,177.0,317.0,155.2,-15.2,-0.5888,0.7
329.2,248.0,388.0,81.2,58.8,0.5334,0.7
329.2,261.0,401.0,68.2,71.8,0.1722,0.7
428.2,503.0,643.0,-74.8,214.8,-3.8,0.7
427.2,477.0,617.0,-49.8,189.8,-3.1056,0.7
330.6,263.0,403.0,67.6,72.4,0.1556,0.7
391.6,337.0,477.0,54.6,85.4,-0.2056,0.7
445.0,460.0,600.0,-15.0,155.0,-2.1388,0.7
434.4,422.0,562.0,12.4,127.6,-1.3778,0.7
392.0,336.0,476.0,56.0,84.0,-0.1666,0.7
434.0,419.0,559.0,15.0,125.0,-1.3056,0.7
