Click_Y,Y_Top,Y_Bottom,Dist_Y_Top,Dist_Y_Bottom, Accuracy, Gap
393.6,325,465,68.6,71.4,0.6,0.7
278.4,403,543,-124.6,264.6,-2.1,0.7
500.6,420,560,80.6,59.4,0.8,0.7
476.6,444,584,32.6,107.4,0.1,0.7
449.8,356,496,93.8,46.2,0.9,0.7
318.0,176,316,142.0,-2.0,0.4,0.7
423.8,352,492,71.8,68.2,0.6,0.7
374.8,416,556,-41.2,181.2,-0.9,0.7
281.2,210,350,71.2,68.8,0.6,0.7
188.6,28,168,160.6,-20.6,0.1,0.7
242.6,140,280,102.6,37.4,0.9,0.7
474.2,384,524,90.2,49.8,0.9,0.7
498.4,346,486,152.4,-12.4,0.2,0.7
259.4,232,372,27.4,112.6,-0.0,0.7
352.2,275,415,77.2,62.8,0.7,0.7
484.4,460,600,24.4,115.6,-0.0,0.7
456.2,378,518,78.2,61.8,0.7,0.7
552.4,460,600,92.4,47.6,0.9,0.7
187.8,106,246,81.8,58.2,0.8,0.7
444.6,400,540,44.6,95.4,0.3,0.7
442.8,387,527,55.8,84.2,0.4,0.7
372.0,304,444,68.0,72.0,0.6,0.7
442.6,354,494,88.6,51.4,0.9,0.7
373.8,322,462,51.8,88.2,0.4,0.7
442.4,475,615,-32.6,172.6,-0.8,0.7
312.6,125,265,187.6,-47.6,-0.2,0.7
387.0,330,470,57.0,83.0,0.4,0.7
314.0,48,188,266.0,-126.0,-1.3,0.7
314.6,94,234,220.6,-80.6,-0.7,0.7
444.0,443,583,1.0,139.0,-0.3,0.7
372.6,301,441,71.6,68.4,0.6,0.7
443.2,494,634,-50.8,190.8,-1.1,0.7
311.8,202,342,109.8,30.2,0.8,0.7
312.2,65,205,247.2,-107.2,-1.1,0.7
313.6,67,207,246.6,-106.6,-1.1,0.7
444.0,365,505,79.0,61.0,0.7,0.7
444.0,416,556,28.0,112.0,-0.0,0.7
373.2,289,429,84.2,55.8,0.8,0.7
312.2,181,321,131.2,8.8,0.5,0.7
443.2,398,538,45.2,94.8,0.3,0.7
330.2,262,402,68.2,71.8,0.6,0.7
330.2,271,411,59.2,80.8,0.5,0.7
264.4,159,299,105.4,34.6,0.9,0.7
332.2,238,378,94.2,45.8,0.9,0.7
332.2,177,317,155.2,-15.2,0.2,0.7
329.2,248,388,81.2,58.8,0.8,0.7
329.2,261,401,68.2,71.8,0.6,0.7
428.2,503,643,-74.8,214.8,-1.4,0.7
427.2,477,617,-49.8,189.8,-1.1,0.7
330.6,263,403,67.6,72.4,0.6,0.7
391.6,337,477,54.6,85.4,0.4,0.7
445.0,460,600,-15.0,155.0,-0.6,0.7
434.4,422,562,12.4,127.6,-0.2,0.7
392.0,336,476,56.0,84.0,0.4,0.7
434.0,419,559,15.0,125.0,-0.2,0.7
332.4,269,409,63.4,76.6,0.5,0.7
433.8,442,582,-8.2,148.2,-0.5,0.7
331.6,180,320,151.6,-11.6,0.3,0.7
248.2,30,170,218.2,-78.2,-0.7,0.7
433.2,388,528,45.2,94.8,0.3,0.7
332.4,259,399,73.4,66.6,0.7,0.7
426.4,497,637,-70.6,210.6,-1.3,0.7
248.4,64,204,184.4,-44.4,-0.2,0.7
265.0,143,283,122.0,18.0,0.7,0.7
266.4,142,282,124.4,15.6,0.6,0.7
390.0,335,475,55.0,85.0,0.4,0.7
248.6,58,198,190.6,-50.6,-0.3,0.7
361.0,281,421,80.0,60.0,0.8,0.7
444.2,462,602,-17.8,157.8,-0.6,0.7
430.0,478,618,-48.0,188.0,-1.0,0.7
245.0,79,219,166.0,-26.0,0.1,0.7
433.8,438,578,-4.2,144.2,-0.4,0.7
265.0,148,288,117.0,23.0,0.7,0.7
266.8,127,267,139.8,0.2,0.4,0.7
246.4,58,198,188.4,-48.4,-0.3,0.7
390.0,343,483,47.0,93.0,0.3,0.7
264.4,172,312,92.4,47.6,0.9,0.7
264.4,140,280,124.4,15.6,0.6,0.7
427.4,500,640,-72.6,212.6,-1.4,0.7
434.6,418,558,16.6,123.4,-0.1,0.7
247.4,123,263,124.4,15.6,0.6,0.7
360.8,279,419,81.8,58.2,0.8,0.7
436.4,409,549,27.4,112.6,-0.0,0.7
426.8,475,615,-48.2,188.2,-1.0,0.7
383.4,323,463,60.4,79.6,0.5,0.7
329.8,208,348,121.8,18.2,0.7,0.7
246.4,85,225,161.4,-21.4,0.1,0.7
435.0,392,532,43.0,97.0,0.2,0.7
433.2,352,492,81.2,58.8,0.8,0.7
433.2,361,501,72.2,67.8,0.6,0.7
331.4,198,338,133.4,6.6,0.5,0.7
330.2,211,351,119.2,20.8,0.7,0.7
435.0,408,548,27.0,113.0,-0.0,0.7
444.6,471,611,-26.4,166.4,-0.7,0.7
328.8,176,316,152.8,-12.8,0.2,0.7
247.8,45,185,202.8,-62.8,-0.5,0.7
248.0,108,248,140.0,-0.0,0.4,0.7
244.4,119,259,125.4,14.6,0.6,0.7
266.0,170,310,96.0,44.0,1.0,0.7
329.2,176,316,153.2,-13.2,0.2,0.7
332.8,266,406,66.8,73.2,0.6,0.7
335.2,251,391,84.2,55.8,0.8,0.7
463.2,242,382,221.2,-81.2,-0.7,0.7
338.4,242,382,96.4,43.6,1.0,0.7
489.6,411,551,78.6,61.4,0.7,0.7
275.2,128,268,147.2,-7.2,0.3,0.7
503.0,449,589,54.0,86.0,0.4,0.7
273.6,175,315,98.6,41.4,1.0,0.7
380.8,307,447,73.8,66.2,0.7,0.7
337.0,241,381,96.0,44.0,1.0,0.7
461.2,372,512,89.2,50.8,0.9,0.7
503.4,483,623,20.4,119.6,-0.1,0.7
381.6,295,435,86.6,53.4,0.8,0.7
505.8,487,627,18.8,121.2,-0.1,0.7
443.2,356,496,87.2,52.8,0.8,0.7
273.8,171,311,102.8,37.2,0.9,0.7
327.8,203,343,124.8,15.2,0.6,0.7
382.8,293,433,89.8,50.2,0.9,0.7
306.8,236,376,70.8,69.2,0.6,0.7
262.0,81,221,181.0,-41.0,-0.2,0.7
381.0,294,434,87.0,53.0,0.8,0.7
381.0,322,462,59.0,81.0,0.5,0.7
264.4,91,231,173.4,-33.4,-0.0,0.7
263.0,76,216,187.0,-47.0,-0.2,0.7
237.2,53,193,184.2,-44.2,-0.2,0.7
337.8,262,402,75.8,64.2,0.7,0.7
337.8,261,401,76.8,63.2,0.7,0.7
303.4,221,361,82.4,57.6,0.8,0.7
303.4,222,362,81.4,58.6,0.8,0.7
488.4,406,546,82.4,57.6,0.8,0.7
488.4,396,536,92.4,47.6,0.9,0.7
236.6,56,196,180.6,-40.6,-0.1,0.7
275.2,149,289,126.2,13.8,0.6,0.7
502.8,468,608,34.8,105.2,0.1,0.7
490.2,390,530,100.2,39.8,1.0,0.7
506.4,465,605,41.4,98.6,0.2,0.7
261.6,70,210,191.6,-51.6,-0.3,0.7
266.2,112,252,154.2,-14.2,0.2,0.7
394.2,330,470,64.2,75.8,0.5,0.7
460.4,376,516,84.4,55.6,0.8,0.7
488.4,414,554,74.4,65.6,0.7,0.7
504.6,478,618,26.6,113.4,-0.0,0.7
271.6,131,271,140.6,-0.6,0.4,0.7
273.0,127,267,146.0,-6.0,0.3,0.7
239.0,56,196,183.0,-43.0,-0.2,0.7
263.0,87,227,176.0,-36.0,-0.1,0.7
488.2,409,549,79.2,60.8,0.7,0.7
334.2,249,389,85.2,54.8,0.8,0.7
374.8,282,422,92.8,47.2,0.9,0.7
374.8,279,419,95.8,44.2,1.0,0.7
502.8,494,634,8.8,131.2,-0.2,0.7
305.6,227,367,78.6,61.4,0.7,0.7
461.2,372,512,89.2,50.8,0.9,0.7
263.2,81,221,182.2,-42.2,-0.2,0.7
303.6,232,372,71.6,68.4,0.6,0.7
379.2,292,432,87.2,52.8,0.8,0.7
379.2,308,448,71.2,68.8,0.6,0.7
384.4,322,462,62.4,77.6,0.5,0.7
392.6,337,477,55.6,84.4,0.4,0.7
263.6,87,227,176.6,-36.6,-0.1,0.7
337.6,262,402,75.6,64.4,0.7,0.7
327.8,201,341,126.8,13.2,0.6,0.7
382.8,290,430,92.8,47.2,0.9,0.7
382.8,320,460,62.8,77.2,0.5,0.7
305.6,217,357,88.6,51.4,0.9,0.7
261.6,107,247,154.6,-14.6,0.2,0.7
507.0,488,628,19.0,121.0,-0.1,0.7
277.0,172,312,105.0,35.0,0.9,0.7
272.2,149,289,123.2,16.8,0.7,0.7
336.4,250,390,86.4,53.6,0.8,0.7
263.4,95,235,168.4,-28.4,-0.0,0.7
505.2,428,568,77.2,62.8,0.7,0.7
264.2,91,231,173.2,-33.2,-0.0,0.7
507.6,502,642,5.6,134.4,-0.3,0.7
336.2,255,395,81.2,58.8,0.8,0.7
274.2,136,276,138.2,1.8,0.4,0.7
264.8,62,202,202.8,-62.8,-0.5,0.7
261.6,100,240,161.6,-21.6,0.1,0.7
303.0,217,357,86.0,54.0,0.8,0.7
325.0,196,336,129.0,11.0,0.6,0.7
489.2,408,548,81.2,58.8,0.8,0.7
239.4,34,174,205.4,-65.4,-0.5,0.7
262.0,102,242,160.0,-20.0,0.1,0.7
334.6,259,399,75.6,64.4,0.7,0.7
261.6,89,229,172.6,-32.6,-0.0,0.7
337.4,261,401,76.4,63.6,0.7,0.7
337.4,271,411,66.4,73.6,0.6,0.7
393.4,335,475,58.4,81.6,0.5,0.7
334.4,272,412,62.4,77.6,0.5,0.7
235.6,42,182,193.6,-53.6,-0.3,0.7
